Kategorie,cnt_2025,share_%,ci_low_%,ci_high_%
Kleidung / Schuhe,27,69.23076923076923,87.54409628553641,100.0
"Elektronik (z. B. Smartphones, Haushaltsgeräte)",17,43.58974358974359,44.228904623446304,78.46771293206314
Lebensmittel / Getränke,6,15.384615384615383,10.607095489408957,40.75729546307081
Bücher / Medien / Software,18,46.15384615384615,47.82441987210548,81.35694555640664
Medikamente / Drogerieartikel,11,28.205128205128204,24.514513372857344,59.27361694463591
Hobby- & Freizeitartikel,21,53.84615384615385,59.24270453692919,89.39290451059105
Möbel / Wohnaccessoires,0,0.0,6.938893903907228e-16,12.455903714463581
