Kategorie,share_%
Kleidung / Schuhe,15.384615384615385
"Elektronik (z. B. Smartphones, Haushaltsgeräte)",12.820512820512821
Lebensmittel / Getränke,7.6923076923076925
Bücher / Medien / Software,17.94871794871795
Medikamente / Drogerieartikel,7.6923076923076925
Hobby- & Freizeitartikel,12.820512820512821
Möbel / Wohnaccessoires,0.0
