category;value
Fashion & Accessoires;57
Freizeit;39
Kosmetik & Drogerie;39
Medikamente & Gesundheit;39
Wohnen & Einrichten;38
Consumer Electronics/Elektrogeräte;38
Heimwerken & Garten;23
Sport- und Outdoorausrüstung;21
Lebensmittel;17
Getränke;16
