category;value
Bekleidung;50
Schuhe;40
Drogerie & Gesundheit;26
Kosmetik & Körperpflege;25
Bücher, Filme, Musik & Spiele (keine Downloads);25
Unterhaltungselektronik (z. B. Fernseher, Smartphones);21
Tierbedarf;20
Haushaltsgeräte;17
Accessoires;16
Lebensmittel und Getränke (ausgenommen Lieferungen von Restaurants);16
Möbel & Haushaltswaren;15
Spielzeug & Babyprodukte;15
Sport- & Outdoor-Artikel;15
DIY, Heimwerker- und Gartenbedarf;14
Taschen und Gepäck;13
Hobby & Schreibwaren;13
Ich habe gar nichts online gekauft;4
Sonstiges;8
